id,name,price,price_mayorista,category,description,image
"1778691216915osuv","Cable 3 in 1",28500,0,"Cables","Importado masivamente","assets/products/prod_1778691216915osuv.jpg"
"177869121691608a7","Cable Apple Tipo C a Tipo C",6000,0,"Cables","Importado masivamente","assets/products/prod_177869121691608a7.jpg"
"1778691216916nbyl","Cable Audio Video Miniplug",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691216916nbyl.webp"
"1778691216917hp1z","Cable Auxiliar Colores Reforzados 1.8",3500,0,"Cables","Importado masivamente","assets/products/prod_1778691216917hp1z.jpg"
"1778691216917u2v9","Cable Auxiliar con Microfono",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691216917u2v9.jpg"
"1778691216922u185","Cable Disco Externo",6500,0,"Cables","Importado masivamente","assets/products/prod_1778691216922u185.jpg"
"1778691216923r3qa","Cable Display Port",9500,0,"Cables","Importado masivamente","assets/products/prod_1778691216923r3qa.jpg"
"1778691216923wm94","Cable Extencion USB 2.0Mts",6000,0,"Cables","Importado masivamente","assets/products/prod_1778691216923wm94.jpg"
"CAb5643","Cable Extension Miniplug 5mts",8500,0,"Cables","","assets/products/prod_1781814942477.jpg"
"1778691216923f6lt","Cable HDMI 1.5Mts",4500,0,"Cables","Importado masivamente","assets/products/prod_1778691216923f6lt.jpg"
"177869121692478og","Cable HDMI 10.0Mts",13500,0,"Cables","Importado masivamente","assets/products/prod_177869121692478og.jpg"
"1778691216924g701","Cable HDMI 15.0 Mts",16000,0,"Cables","Importado masivamente","assets/products/prod_1778691216924g701.jpg"
"17786912169265m7w","Cable HDMI 3.0Mts",5500,0,"Cables","Importado masivamente","assets/products/prod_17786912169265m7w.jpg"
"1778691216926qxsu","Cable HDMI 5.0Mts",8500,0,"Cables","Importado masivamente","assets/products/prod_1778691216926qxsu.jpg"
"1778695333948esdq","Cable HDMI 7.5Mts",11000,0,"Cables","Importado masivamente","assets/products/prod_1778695333948esdq.jpg"
"1778691216924hhj1","Cable Hdmi 2.0 1.5Mts",8500,0,"Cables","Importado masivamente","assets/products/prod_1778691216924hhj1.jpg"
"1778691216925chpc","Cable Hdmi 2.0 3.0Mts",11000,0,"Cables","Importado masivamente","assets/products/prod_1778691216925chpc.jpg"
